title,categories,difficulty,hints,series,youtube
Ace Attorney ~ Trial,Locale,Easy,Time to face Miles Edgeworth,"Capcom, Ace Attorney",https://youtu.be/UEGVxLs6Sr0?si=zI8hBwLzpuErytHd
Ace Attorney Investigations ~ Calisto Yew,"Character, Adversary",Tough,,"Capcom, Ace Attorney",https://www.youtube.com/watch?v=2nNsmuTuIjc
Ace Attorney Investigations ~ Two Embassies - The Lands of Butterflies and Flowers,Locale,Normal,Mustard and ketchup style building,"Capcom, Ace Attorney",https://youtu.be/PnpCtVzKbnc
Ace Attorney Investigations ~ Tyrell Badd - The Truth Is Never Sweet,Character,Normal,He loves lollipops,"Capcom, Ace Attorney",https://youtu.be/R9Tex8sMZDk
AI The Somnium Files ~ Man in the Girls' High,Locale,Lunatic,,Spike Chunsoft,https://www.youtube.com/watch?v=6-pp5AHSp00
Among Us ~ Report,Jingles,Easy,Sus? Sus? Sus?,"Indie, Among Us",https://www.youtube.com/watch?v=r-Iub0WkoMs
Animal Crossing ~ K.K. Condor (Aircheck),"Credits, Event",Tough,,"Nintendo, Animal Crossing",https://youtu.be/SMpjcO6grio?si=F8Uul32ZQdb_CGAQ
Animal Crossing: City Folk ~ 1 PM,Locale,Tough,,"Nintendo, Animal Crossing",https://youtu.be/ZDGoTJufhkY?si=QTbutB-rHTgztVN3
Animal Crossing: City Folk ~ 12 PM,Locale,Tough,,"Nintendo, Animal Crossing",https://youtu.be/W6MS31srM4w?si=H3FwylbiMH9C7yI1
Animal Crossing: City Folk ~ Able Sisters,Character,Easy,,"Nintendo, Animal Crossing",https://youtu.be/SQ363fbTgmA?si=DOeZyDGUvNDmZZVR
Animal Crossing: City Folk ~ Title Screen,"Screen, Other",Easy,,"Nintendo, Animal Crossing",https://youtu.be/7BaRMrsrqy0?si=sJZRLDXIcZEu_mM9
Animal Crossing: Happy Home Designer ~ Snowy Downtown,"Locale, Town & City, Snowy",Tough,,"Nintendo, Animal Crossing",https://www.youtube.com/watch?v=33QIoWVg8zU
Animal Crossing: New Horizons ~ Title Screen,"Screen, Other",Easy,,"Nintendo, Animal Crossing",https://youtu.be/v3L8wymhZRA?si=Ni_fVpU4ED6GeWQX
Animal Crossing: New Leaf ~ Toy Day,"Event, Snowy",Normal,It's not Christmas,"Nintendo, Animal Crossing",https://www.youtube.com/watch?v=pAJ2rto1fYw
Animal Crossing: Wild World ~ Mr. Resetti,Character,Normal,"Always, always save your game...","Animal Crossing, Nintendo",https://youtu.be/38Pu8ZeSJN0?si=fcelGUoNtvdjFS2l
"Another Crab's Treasure ~ Roland, Venture Crabitalist","Battle, Boss, Aquatic",Lunatic,"ALLEY.... OOP- aw, shit.",Indie,https://www.youtube.com/watch?v=J4rcv5vd6gU
Another Crab's Treasure ~ The Mess I Made,"Credits, Vocals",Tough,,Indie,https://www.youtube.com/watch?v=79grTRdNAQI
ANTONBLAST ~ Idle Hands,Locale,Lunatic,,"Indie, Other",https://youtu.be/6ToDuVDI9-8?si=XohNfNjVb2b9iAWz
ANTONBLAST ~ The Big Bath,Locale,Lunatic,,"Indie, Other",https://youtu.be/r6UnF1Mhvv4?si=A6xihegLIxO4iG3i
Ape Escape ~ Specter Circus,Locale,Lunatic,,Sony,https://www.youtube.com/watch?v=gmA0xfaNNfs
Ape Escape 3 ~ Fantsy Knight,Jingles,Tough,,Sony,https://www.youtube.com/watch?v=N3kwk2188SM
Ape Escape 3 ~ Seaside Resort,"Locale, Aquatic",Tough,,Sony,https://youtu.be/5Ny0HrFk1x0?si=bfJWiZEKMjUbNerw
Ape Escape 3 ~ Wild West Town,"Locale, Desert",Tough,,Sony,https://www.youtube.com/watch?v=H0nC--PTIps
Apollo Justice ~ A New Trial is in Session! - Objection! 2007,"Character, Event",Normal,,"Capcom, Ace Attorney",https://youtu.be/5kI6-rGRmSI?si=rCSa6hctNift1xVp
Apollo Justice ~ Ema Skye - Scientific Detective,Character,Normal,,"Capcom, Ace Attorney",https://youtu.be/c7rywnWMLyc?si=HZnSKCM7rjSEFtS6
Apollo Justice ~ Staff Credits,Credits,Normal,,"Capcom, Ace Attorney",https://youtu.be/cURga_rrpcc?si=HNaTeBz_r53Iz7tL
